food,characteristic,p_values
MET_G,yesCrash,0.260370767444481
TACOQUAN,mathReading,0.2604114181079962
LEMONADEQUAN,smoke_often,0.26041637780162613
D_TOTAL,cat,0.2604718148551382
PSDAIRY,cat,0.2604718148551382
MODMINS,uhCrash,0.26048405366720073
WHITERICEQUAN,unfavCable,0.26053622130149656
JOBWALKFREQ,dog,0.2605443753514255
COCKTAILSFREQ,cancer,0.2605614810129596
SUP_SE,right_hand,0.2605650937228984
DT_PROT_ANIMAL,favCable,0.2605839265451685
MEATBALLSQUAN,mathReading,0.2605856574363937
REFRIEDBEANSQUAN,readingMath,0.2606602260906529
FATOILFREQ,quit_smoking,0.2608393461410181
GRANOLATYPE,belly,0.26093304071746826
MILKFREQ,heart_disease,0.260941439517008
GROUP_CORN_TOTAL_GRAMS,ever_smoked,0.2610156362639137
GROUP_CORN_TOTAL_GRAMS,never_smoked,0.2610156362639143
GROUP_PUDDING_CUSTARD_FLAN_TOTAL_GRAMS,currently_smoke,0.2610237496613405
GROUP_MARGARINE_AT_TABLE_TOTAL_GRAMS,mathReading,0.2610260834539809
BREAKFASTSANDWICHFREQ,neutralCable,0.2610432053741819
GROUP_WALNUTS_FLAX_SEEDS_TOTAL_GRAMS,cancer,0.26110196070699604
GROUP_TUNA_TUNA_IN_DISHES_TOTAL_GRAMS,neutralCable,0.2611484986108044
ZINCAMOUNT,yesCrash,0.2611702732304416
BUTTERQUAN,favCable,0.261223229802839
COFFEEQUAN,Dems,0.2612553524632237
ILE_G,yesCrash,0.2612888530368031
GROUP_POULTRY_UNCOATED_TOTAL_GRAMS,unfavCable,0.26134737751162246
DT_M201,heart_disease,0.2613903335654611
PASTRIESFREQ,right_hand,0.26139155901820593
SUP_VITD,unfavCable,0.26152684731090264
BROWNRICEQUAN,never_smoked,0.26155044377822884
BROWNRICEQUAN,ever_smoked,0.26155044377822984
DELPH,noCrash,0.2615810847481756
HAMBURGERFREQ,diabetes,0.2616067570182187
VITAMINEAMOUNT,belly,0.2616510231935721
PUMPKINPIEFREQ,mathReading,0.26166086409830525
GROUP_ANY_OTHER_VEGETABLE_TOTAL_GRAMS,smoke_often,0.261683306117434
OTHERCANDIESQUAN,diabetes,0.26173399989271884
TOCTRA,yesCrash,0.261756819253706
GROUP_HOT_DOG_POULTRY_LOW_FAT_TOTAL_GRAMS,never_smoked,0.26176060854258615
GROUP_HOT_DOG_POULTRY_LOW_FAT_TOTAL_GRAMS,ever_smoked,0.2617606085425863
ERGCAL,smoke_often,0.26177389838025394
F16D1C,neutralCable,0.26177516186572286
SUP_VITC,never_smoked,0.261811685517964
SUP_VITC,ever_smoked,0.26181168551796447
LIGHTHOUSETIME,atheist,0.26181711346615266
LUTEOL,cancer,0.2618211765969511
T_FLAVONOLS,yesCrash,0.26183076861591537
GLUS,left_hand,0.26193645843605623
A_NUT_S,heart_disease,0.261952694986173
F22D1T,left_hand,0.2620113546577019
GROUP_WHITE_POTATOES_NOT_FRIED_TOTAL_GRAMS,rash,0.2620169807692132
F15D0,cancer,0.2620265322833603
VITAMINAAMOUNT,neutralCable,0.2620307983065688
SUP_IRON,currently_smoke,0.26208458710614696
GROUP_LOW_FAT_1_PCT_MILK_TOTAL_GRAMS,cat,0.2621767815974947
GROUP_POPCORN_AIR_POP_FAT_FREE_TOTAL_GRAMS,Dems,0.26230015665366063
GROUP_MIXED_DISH_WITH_BEEF_PORK_TOTAL_GRAMS,atheist,0.2623236963308827
GROUP_COTTAGE_CHEESE_RICOTTA_TOTAL_GRAMS,dog,0.2623572742400397
CORNCHIPSQUAN,right_hand,0.2623632854018872
GROUP_RIBS_SPARERIBS_BBQ_TOTAL_GRAMS,noCrash,0.2624222521533127
CHOLNSM,smoke_rarely,0.26245518424654934
GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS,yesCrash,0.2625215099544248
OTHERNUTSFREQ,yesCrash,0.26257134849401004
TORTILLASFREQ,smoke_often,0.26267489496419205
GROUP_GATORADE_POWERADE_TOTAL_GRAMS,uhCrash,0.2626929836885053
GREENSALADFREQ,belly,0.26275082910857395
F16D1C,atheist,0.2628373197042391
SUP_FOL,readingMath,0.26284775829687296
PF_EGGS,smoke_rarely,0.2628861058222586
PSEGGS,smoke_rarely,0.2628861058222586
PORKCHOPSQUAN,readingMath,0.26293500008129117
OTHERNUTSFREQ,mathReading,0.2630783646803671
CHILDCARETIME,readingMath,0.26308759011544636
NARING,mathReading,0.2631087952787909
GROUP_COFFEE_DECAF_TOTAL_GRAMS,mathReading,0.26319223183969725
GROUP_HAMBURGER_PATTY_TOTAL_GRAMS,heart_disease,0.2631969305925404
GLU_G,currently_smoke,0.2632187958053203
SUP_MG,unfavCable,0.26325702954207514
HOTDOGFREQ,cat,0.26331471074630963
DT_FIBER_SOL,atheist,0.2633823427561756
MELONSFREQ,smoke_often,0.263511802199141
GROUP_SALAD_DRESSING_OIL_AND_VINEGAR_TOTAL_GRAMS,currently_smoke,0.26355431292136927
VITAMINB12YEARS,readingMath,0.26358819851431753
GREENBEANSQUAN,right_hand,0.2636660541835679
ORANGEJUICETYPE,mathReading,0.26367120665563526
CHOLNSM,noCrash,0.2637980972724086
RAWTOMATOESQUAN,cat,0.26380388999566035
OMEGASUPPFREQ,smoke_rarely,0.26386357870254845
GROUP_MEAT_LOAF_MEAT_BALLS_TOTAL_GRAMS,left_hand,0.2638779683644985
SUP_CA,belly,0.26389023291529007
V_REDOR_TOMATO,diabetes,0.26390014462824507
GROUP_COOKIES_LOW_SUGAR_TOTAL_GRAMS,unfavCable,0.2639015947990415
CORNBREADFREQ,yesCrash,0.2639123069184969
BAGELQUAN,mathReading,0.2639423681519021
T_FLAVONOLS,Dems,0.2639619178607055
CALCIUMQUAN,diabetes,0.26396566541148664
VITAMINCYEARS,left_hand,0.26406327069609814
CABBAGEFREQ,neutralCable,0.26416251932117685
CHOLNGPC,diabetes,0.2641835641158972
GROUP_TORTILLAS_FLOUR_WHEAT_TOTAL_GRAMS,right_hand,0.26421716543803087
F_TOTAL,cancer,0.2642418681854529
PSFRUIT,cancer,0.2642418681854529
F24D1C,cancer,0.2642837109675512
COFFEEQUAN,right_hand,0.264316093720482
GROUP_OTHER_FISH_DISHES_LOW_OMEGA3_TOTAL_GRAMS,yesCrash,0.26441183488551223
LIGHTHOUSEFREQ,diabetes,0.26449238241348855
TACOQUAN,smoke_often,0.2645032882388902
BEEFPORKDISHQUAN,noCrash,0.26453712148047476
GROUP_PUDDING_CUSTARD_FLAN_TOTAL_GRAMS,atheist,0.26466216945115056
DT_THIA,belly,0.2647628768605686
PHYTIC_ACID,uhCrash,0.2647729186559465
GROUP_OTHER_SOUP_TOTAL_GRAMS,right_hand,0.2648831942148561
COFFEEDRINKSKIND,readingMath,0.26503386698121617
DT_P182,neutralCable,0.2651357907359943
GROUP_SANDWICH_BUNS_MULTIGRAIN_TOTAL_GRAMS,diabetes,0.26521296537154393
EGGSQUAN,right_hand,0.26525789659516646
COLDCEREALFREQ,cat,0.26527430560179355
HOTDOGQUAN,currently_smoke,0.26527969666267903
TOFUFREQ,diabetes,0.26532682342586866
SALMONFREQ,Jewish,0.2653375882015722
R_MEAT_S,dog,0.26541665878929477
VEGETABLESOUPFREQ,heart_disease,0.26549209188089357
EPICATEC,smoke_rarely,0.26551069671188066
HOTTEAQUAN,smoke_often,0.2655515420481553
ICEDTEAFREQ,mathReading,0.26579672846669744
PELARGDIN,neutralCable,0.26583847662294047
MELONSFREQ,rash,0.2658706104019248
GROUP_SODA_SUGAR_NO_CAFFEINE_TOTAL_GRAMS,mathReading,0.26593504445059124
AA_BEV,right_hand,0.26597057325882706
GROUP_RAW_TOMATOES_TOTAL_GRAMS,heart_disease,0.2659824487233833
SUP_NIAC,right_hand,0.265996486856818
SUP_VITE,favCable,0.2660014547740373
ICECREAMTYPE,right_hand,0.26600335271859593
WHOLEGRAINCRACKERSFREQ,dog,0.2660341126719047
ADSUG_NA,never_smoked,0.2662285022447292
ADSUG_NA,ever_smoked,0.2662285022447297
FATONMEATTYPE,Jewish,0.26623177194485953
PROTEINBARSQUAN,left_hand,0.26627879734688537
V_REDOR_OTHER,cat,0.2662924229068561
HICQUAN,dog,0.26631492995653194
GROUP_CANNED_FRUIT_APPLESAUCE_WITH_CANNED_CITRUS_TOTAL_GRAMS,left_hand,0.26638334618194454
GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS,currently_smoke,0.26639224279407464
DT_VB12,heart_disease,0.266491800618119
GROUP_OTHER_CRACKERS_FILLED_PRETZELS_REGULAR_TOTAL_GRAMS,favCable,0.26658514304190845
DT_SUG_T,dog,0.26662415318242066
OTHERPIESFREQ,smoke_rarely,0.26664561120672015
DT_CARB,diabetes,0.26666512734940356
DT_VARAE,neutralCable,0.26669575268241896
GROUP_POULTRY_UNCOATED_TOTAL_GRAMS,Dems,0.26672412426478437
R_MEAT_S,left_hand,0.2667382337241415
BACONSAUSAGEFREQ,smoke_often,0.26683151690126994
GROUP_APPLES_PEARS_RAW_TOTAL_GRAMS,yesCrash,0.26683880530505205
SUP_OM_3,cat,0.2668840363464
HISTN_G,smoke_rarely,0.26691488848759154
GROUP_WATER_BOTTLED_OR_TAP_TOTAL_GRAMS,favCable,0.26693852565418064
ICEDTEATYPE,yesCrash,0.2669603427477185
GROUP_RAISINS_DRIED_FRUIT_TOTAL_GRAMS,dog,0.2669771678134137
GROUP_ORANGE_TANGERINE_GRAPEFRUIT_FRESH_TOTAL_GRAMS,mathReading,0.2669915976171693
JOBLIFTFREQ,cat,0.26699438262485614
SALSAQUAN,mathReading,0.2669955893953524
F16D1C,right_hand,0.2670463222296239
GROUP_STEAK_ROAST_FAT_OFF_TOTAL_GRAMS,currently_smoke,0.26704767169363514
DT_B12AD,smoke_often,0.267088902869321
PIZZAFREQ,right_hand,0.2671680110839075
GROUP_LATTE_CAPPUCCINO_SOY_MILK_TOTAL_GRAMS,cancer,0.26717829616751027
NARING,noCrash,0.2671942926300104
PF_SEAFD_HI,dog,0.26721962305139807
F_OTHER,heart_disease,0.2672332023346477
MEATSUBSTITUTESQUAN,currently_smoke,0.26748045626029704
BUNSQUAN,currently_smoke,0.2674804562603
OTHERWHOLEGRAINCEREALTYPE,belly,0.26748045626030625
MEATSUBSTITUTESQUAN,belly,0.26748045626030725
OTHERCHICKENDISHFREQ,Dems,0.2675530207431157
POPCORNTYPE,yesCrash,0.2675841923018947
GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS,uhCrash,0.2676412656860289
OTHERCHICKENDISHFREQ,noCrash,0.2678052531344722
GROUP_TOMATO_VEGETABLE_JUICE_TOTAL_GRAMS,atheist,0.2678062371714528
DT_P183,never_smoked,0.2678311138477986
DT_P183,ever_smoked,0.26783111384779873
VARIETYMEATFREQ,smoke_often,0.26783112334444864
GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS,diabetes,0.26784236743937456
GROUP_TABLE_SALT_TOTAL_GRAMS,heart_disease,0.2678453286242806
DT_SFAT,neutralCable,0.2678782908955022
DT_PROT_VEGETABLE,cat,0.2678829882891428
GROUP_YOGURT_PLAIN_NON_FAT_TOTAL_GRAMS,Dems,0.2679132482440814
WEEDYARDFREQ,currently_smoke,0.2679319934824144
DT_P225,neutralCable,0.26796546763582907
GROUP_ANY_OTHER_VEGETABLE_TOTAL_GRAMS,right_hand,0.2680121380237334
CORNBREADFREQ,unfavCable,0.26803483308001136
VITAMINDQUAN,currently_smoke,0.26806086553413805
GROUP_PORK_FAT_OFF_TOTAL_GRAMS,left_hand,0.26811580318560857
MEATBALLSFREQ,heart_disease,0.26812199248463686
PEANUTBUTTERQUAN,cat,0.26812199248463714
GROUP_RAW_TOMATOES_TOTAL_GRAMS,rash,0.26816922058672116
RIBSFREQ,noCrash,0.26829999511026337
BRISKWALKFREQ,currently_smoke,0.26831976593004475
GROUP_OTHER_EGGS_OR_OMELETS_TOTAL_GRAMS,noCrash,0.2683799621662504
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,cancer,0.2684925493368444
POPSICLESQUAN,Dems,0.26850066322396143
LIGHTHOUSETIME,smoke_rarely,0.2685793803281783
DT_P184,favCable,0.2685818188429221
GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS,left_hand,0.2685983058582705
GROUP_COOK_FAT_OLIVE_OIL_TOTAL_GRAMS,Dems,0.2686016558807912
AF_TOT_S,yesCrash,0.26871089368735795
EXERGYMFREQ,readingMath,0.26882345263027346
DT_M201,Dems,0.2688331293634209
PICKLESQUAN,unfavCable,0.26894163841984897
GROUP_BOTH_RED_AND_WHITE_WINE_TOTAL_GRAMS,left_hand,0.26898503246646616
DT_SFAT,right_hand,0.269060413006021
DT_SFAT,left_hand,0.2690640490839859
GROUP_BEER_REGULAR_TOTAL_GRAMS,quit_smoking,0.2690662765084055
REFRIEDBEANSQUAN,rash,0.26919186863655015
PF_TOTAL,neutralCable,0.26927485843988563
DT_SUG_T,favCable,0.2692980322375791
COLDCEREALFREQ,ever_smoked,0.26931644887113093
COLDCEREALFREQ,never_smoked,0.26931644887113093
BUNSFREQ,smoke_often,0.2693203132979832
VITAMINDAMOUNT,favCable,0.2693630873301409
GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS,mathReading,0.26936404569040173
DHA_EPA,diabetes,0.2693800336525167
DT_BCARO,uhCrash,0.26939583331457156
VITE_IU,heart_disease,0.2694487602550037
METMINS,never_smoked,0.2694706804994902
METMINS,ever_smoked,0.2694706804994903
GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS,quit_smoking,0.2696070619620815
TOCPHD,smoke_rarely,0.2696158945698742
GROUP_BREAKFAST_SANDWICH_WITH_EGG_OR_MEAT_TOTAL_GRAMS,heart_disease,0.2696207129285064
GROUP_GRANOLA_TOTAL_GRAMS,mathReading,0.26966706755472664
BROWNRICEQUAN,unfavCable,0.2697643472793761
GROUP_TABLE_SALT_TOTAL_GRAMS,left_hand,0.26983607054002695
F_WHOLE,yesCrash,0.269839145402725
PANCAKEFREQ,ever_smoked,0.2698396879340305
PANCAKEFREQ,never_smoked,0.2698396879340305
CREAMCHEESEFREQ,uhCrash,0.26989132064392385
CAKESTYPE,Dems,0.26994690116635917
TOFUQUAN,cancer,0.26995917261118224
F17D1,right_hand,0.269960342860561
GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS,uhCrash,0.27000635993097094
A_DRINKS,right_hand,0.27002318776315853
DT_ALCO,right_hand,0.2700236041749946
TRP_G,currently_smoke,0.27004061880258673
CHILDCARETIME,favCable,0.2701573658841737
GROUP_WATER_BOTTLED_OR_TAP_TOTAL_GRAMS,uhCrash,0.2701880803496555
DT_FIBER_SOL,smoke_often,0.270238646050327
V_TOTAL,rash,0.27029794779517524
DT_S180,right_hand,0.2704196310677318
COFFEEFREQ,Dems,0.27045082961839517
OTHERCANDIESQUAN,neutralCable,0.270467538658201
DT_MOIS,currently_smoke,0.27047286740002463
DT_MAGN,atheist,0.27047446354408533
OTHERFRESHFRUITQUAN,cat,0.27053280267301894
OTHERRICHSAUCESQUAN,heart_disease,0.2705328026730193
TRP_G,yesCrash,0.27055868742896877
GROUP_SWEET_POTATO_YAM_TOTAL_GRAMS,noCrash,0.2706249578709629
CALCIUMAMOUNT,favCable,0.2706804723342595
PAC10,right_hand,0.270773676738237
OTHERSOUPFREQ,atheist,0.27078036086604623
DT_ACARO,atheist,0.27084708268837715
OTHERPIESFREQ,dog,0.2708785470878163
FATRNM,noCrash,0.2709756045558209
STEAKFREQ,unfavCable,0.27098825549922584
VITAMINCAMOUNT,left_hand,0.271011523928321
OTHERBREADSFREQ,never_smoked,0.27105940146057855
OTHERBREADSFREQ,ever_smoked,0.271059401460579
GROUP_FEET_NECK_TAIL_TONGUE_CHITLINS_TOTAL_GRAMS,favCable,0.2711086418298326
FORMONONETIN,heart_disease,0.2711121152755437
PF_SOY,mathReading,0.2711420081704781
GROUP_ALCOHOLICBEVERAGES_TOTAL_FREQUENCY,rash,0.2712447607086354
DT_PROT_VEGETABLE,Dems,0.27124905203359634
F16D1T,right_hand,0.2712797293250685
DT_SODI,smoke_rarely,0.27132143097308226
GROUP_POULTRY_UNCOATED_ATE_SKIN_TOTAL_GRAMS,quit_smoking,0.271322383017914
F_JUICE,unfavCable,0.2714026473408817
GREENBEANSQUAN,quit_smoking,0.271505405664665
GROUP_REDUCED_FAT_2_PCT_MILK_TOTAL_GRAMS,rash,0.2715382574594333
BRISKWALKTIME,smoke_rarely,0.2715594180244209
DT_P226,mathReading,0.27158259274835356
GROUP_BREAD_WHITE_TOTAL_GRAMS,heart_disease,0.2716280171486171
FISHOILTYPE,rash,0.2716317364903972
JOBLIFTTIME,rash,0.2716317364903978
CREAMINTEA,rash,0.27163173649040295
DT_P183,neutralCable,0.2716416445599625
VITA_IU,smoke_rarely,0.27173450457428283
GROUP_OTHER_SOUP_TOTAL_GRAMS,uhCrash,0.2718200455275811
SALSAQUAN,never_smoked,0.27182147949752355
SALSAQUAN,ever_smoked,0.271821479497524
DT_RIBO,belly,0.27183310937462807
GROUP_BEER_REGULAR_TOTAL_GRAMS,diabetes,0.2718879108992368
GROUP_BANANAS_TOTAL_GRAMS,noCrash,0.27199590085328074
GRANOLATYPE,unfavCable,0.2720097122835829
OTHERFRUITJUICESFREQ,smoke_rarely,0.27216804003049633
DT_SEL,currently_smoke,0.27218509639370375
SUP_VITC,rash,0.27226845897843477
GREENBEANSFREQ,smoke_often,0.2722936458457582
CALCIUMAMOUNT,neutralCable,0.27236178067806127
GROUP_CABBAGE_SLAW_CHINESE_CABBAGES_TOTAL_GRAMS,diabetes,0.2723833666764316
DT_NITROGEN,diabetes,0.2724629684579058
DT_NITROGEN,smoke_rarely,0.2724665901718987
DT_CAFFN,right_hand,0.2724879458048311
F18D2TT,Dems,0.27252330206176795
PUMPKINPIEFREQ,right_hand,0.2725401973914938
HONBUNCHOATSTYPE,cancer,0.2725401973914948
COTTAGECHEESEQUAN,cancer,0.272540197391495
VIGMINS,smoke_rarely,0.27259897987357823
GROUP_POPCORN_REGULAR_TOTAL_GRAMS,favCable,0.27261735003187015
PIZZAFREQ,dog,0.272685845989413
STARCH,cat,0.2726978421575237
PRO_G,heart_disease,0.27272060445932494
F18D2CLA,heart_disease,0.2727374868101285
TEASUGARTEASPOONS,heart_disease,0.2727390998541273
GROUP_SWEETS_TOTAL_GRAMS,smoke_often,0.27274128118669355
ICECREAMQUAN,diabetes,0.27282884034306726
FISHOILTYPE,heart_disease,0.2728676780625785
FISHOILTYPE,cat,0.272867678062579
CREAMINTEA,heart_disease,0.2728676780625804
CREAMINTEA,cat,0.27286767806258133
OTHERCRACKERSQUAN,cancer,0.27290061100556623
DT_FIBER_SOL,noCrash,0.27292531728069086
CEREALBARSFREQ,right_hand,0.27298677743579286
WINETYPE,smoke_rarely,0.27301920997186246
OTHERCANDIESFREQ,noCrash,0.2730620244170693
VITAMINDQUAN,right_hand,0.2731259367927917
CRACKERSTYPE,cat,0.2732129584627682
NIACIN_EQUIV_NE,neutralCable,0.27325945764829696
SUP_B2,diabetes,0.2732630651970102
PROTEINBARSQUAN,neutralCable,0.2732867843722363
CHILDCARETIME,uhCrash,0.27328678437223736
COFFEEDRINKSTYPE,right_hand,0.27332917612125884
ALA_G,smoke_rarely,0.27335679018297826
GROUP_GATORADE_POWERADE_TOTAL_GRAMS,diabetes,0.27335781382751423
HOTDOGTYPE,dog,0.2733615331474374
GROUP_OTHER_SOUP_TOTAL_GRAMS,favCable,0.27336683189968775
BREAKFASTSANDWICHFREQ,smoke_rarely,0.27355830900233713
GROUP_PORK_CHOPS_ROAST_HAM_TOTAL_GRAMS,unfavCable,0.2735650639094946
PHE_G,currently_smoke,0.27357786531304673
DT_VITK,Jewish,0.2735971400317796
F_OTHER,noCrash,0.273604393444081
GROUP_SUGARYBEVG_TOTAL_KCAL,atheist,0.27362971620090343
HOTDOGTYPE,quit_smoking,0.2736585581602324
CAKESQUAN,heart_disease,0.2736644431015829
SUP_VITA,favCable,0.2737044637838604
F16D1T,belly,0.27371763263276544
GROUP_GREEN_SALAD_RAW_SPINACH_TOTAL_GRAMS,right_hand,0.273726623831346
FLD,quit_smoking,0.2737521208091113
F_CITMLB,left_hand,0.27376553706154183
VITAMINAAMOUNT,favCable,0.27385666151985305
VARIETYMEATFREQ,unfavCable,0.27392440236940985
LENTILSOUPQUAN,rash,0.2739927255748261
CHOLNFR,quit_smoking,0.2740234654913654
SUP_VK,unfavCable,0.27405344568953155
ERIODICTYL,noCrash,0.274062321071346
GROUP_GREENS_SPINACH_COOKED_TOTAL_GRAMS,Jewish,0.27406342911481996
DT_NIAC,belly,0.27411387301422413
PAC10,uhCrash,0.2741899900975162
ZINCAMOUNT,mathReading,0.2742189597492336
GROUP_PEACH_NECTARINE_TOTAL_GRAMS,cat,0.27422346272553816
STEAKFREQ,cat,0.2742257152094471
F24D1C,cat,0.2742326075918911
GLYCTEIN,ever_smoked,0.27427329351816143
GLYCTEIN,never_smoked,0.27427329351816193
DT_SEL,belly,0.27430773322234403
CHICKENSKINTYPE,dog,0.2743606602702518
GROUP_COOK_FAT_CORN_VEGETABLE_OIL_BLENDS_TOTAL_GRAMS,neutralCable,0.27443224633744734
DT_RET,Dems,0.27444962923425503
B_CAROTENE_EQUIV,uhCrash,0.274472622978298
ONEADAYYEARS,uhCrash,0.27448717384377647
HICFREQ,yesCrash,0.2745562101876454
SHELLFISHFREQ,neutralCable,0.2745635779826805
FRIESQUAN,neutralCable,0.27456357798268066
GROUP_CANNED_FRUIT_APPLESAUCE_WITH_CANNED_CITRUS_TOTAL_GRAMS,diabetes,0.27460706638524873
GROUP_SWEET_POTATO_YAM_TOTAL_GRAMS,ever_smoked,0.27465488949820843
GROUP_SWEET_POTATO_YAM_TOTAL_GRAMS,never_smoked,0.27465488949820854
GROUP_GRANOLA_TOTAL_GRAMS,never_smoked,0.2746842101943315
GROUP_GRANOLA_TOTAL_GRAMS,ever_smoked,0.2746842101943317
SUP_VITC,left_hand,0.2746872725250708
SALADDRESSINGSFREQ,left_hand,0.2747960068004051
A_BEAN_S,noCrash,0.2747963830260216
GROUP_AVOCADO_GUACAMOLE_TOTAL_GRAMS,left_hand,0.274997549058403
GROUP_TOFU_OR_TEMPEH_TOTAL_GRAMS,readingMath,0.27500187609240284
DT_MAGN,Dems,0.27503069712734907
PUMPKINPIEFREQ,yesCrash,0.27508767991513566
PSLEGSOY,noCrash,0.2751749786949054
GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS,noCrash,0.27518000044069413
DT_FIBER_SOL,Jewish,0.2752024085304863
VITA_IU,diabetes,0.27522966113868835
OTHERSOUPFREQ,favCable,0.2753221969910793
OTHERCRACKERSQUAN,heart_disease,0.2753845471084782
PAC_3,favCable,0.27539903127667215
BCOMPLEXTYPEVITSYEARS,readingMath,0.27540118255622165
PETUNIDIN,belly,0.2754150411293824
TYR_G,Dems,0.2754199485217301
SODACAFFEINE,ever_smoked,0.2755187008198208
SODACAFFEINE,never_smoked,0.27551870081982094
WALNUTSQUAN,belly,0.2755207498820906
WHOLEGRAINCEREALFREQ,smoke_rarely,0.27552591515628194
PEONIDIN,cat,0.275568310773465
HISTN_G,diabetes,0.2755938806991564
BEANSQUAN,currently_smoke,0.27566707051316874
BEANSQUAN,belly,0.2756670705131704
VITAMINEYEARS,quit_smoking,0.27569560265492277
PASTRIESFREQ,Jewish,0.2757832086751865
GROUP_OTHER_NOODLES_WHITE_PASTA_TOTAL_GRAMS,dog,0.27582838855603137
GROUP_LUNCH_MEATS_POULTRY_LOW_FAT_TOTAL_GRAMS,quit_smoking,0.2758692924316386
F18D1TN7,dog,0.2758815849640091
PUDDINGFREQ,smoke_rarely,0.27591500894684157
FOL_DFE,currently_smoke,0.27593982824217145
CHICKENSKINTYPE,left_hand,0.2759820484861957
OTHERCHICKENDISHQUAN,atheist,0.2760843701154664
D_YOGURT,smoke_often,0.27612200613671084
SALTFREQ,right_hand,0.27614993907977275
TACOFREQ,diabetes,0.2761773681259666
JOBSTANDTIME,rash,0.2761978868488086
OTHERRICHSAUCESQUAN,Dems,0.27623331837534815
REFRIEDBEANSFREQ,belly,0.2762419903364649
CORNCHIPSQUAN,neutralCable,0.27628933896921765
GROUP_DONUTS_TOTAL_GRAMS,diabetes,0.27630468383489254
F14D1,quit_smoking,0.27632768498860355
ONEADAYAMOUNT,belly,0.2763703966891537
ONEADAYAMOUNT,currently_smoke,0.2763703966891537
GROUP_SODA_SUGAR_NO_CAFFEINE_TOTAL_GRAMS,cancer,0.2764509019145462
GROUP_OTHER_CRACKERS_FILLED_PRETZELS_REGULAR_TOTAL_GRAMS,left_hand,0.27646043858211705
TOMATOJUICEQUAN,mathReading,0.27646865067340615
GALS,cat,0.27649320196894484
GROUP_APPLES_PEARS_RAW_TOTAL_GRAMS,noCrash,0.27667840510389163
EGGROLLQUAN,favCable,0.27680104874767397
VITAMINDQUAN,diabetes,0.27680109908729394
GROUP_MAYO_REGULAR_TOTAL_GRAMS,atheist,0.2768350478998189
HOTTEAFREQ,cancer,0.276868536883826
PSOILS,diabetes,0.2769100168802462
SER_G,diabetes,0.2769460352952951
GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS,ever_smoked,0.2769768042288919
GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS,never_smoked,0.2769768042288921
COCKTAILSQUAN,rash,0.27698166777002264
STID7,unfavCable,0.27703459035446387
DT_P204,heart_disease,0.2770773940335264
F18D1T,neutralCable,0.27712397323104215
F13D0,cancer,0.277190212925166
V_STARCHY_OTHER,uhCrash,0.27720581949473694
LATINO,atheist,0.2772247307189865
DT_S160,heart_disease,0.27723184910844717
CALCIUMYEARS,atheist,0.27741740162225703
ASH,left_hand,0.2774354026542965
F20D0,left_hand,0.2774979843099747
EPICATEGC3G,ever_smoked,0.2775043315211343
EPICATEGC3G,never_smoked,0.2775043315211343
GROUP_COOKIES_LOW_SUGAR_TOTAL_GRAMS,uhCrash,0.27753459321345353
PAC_3,rash,0.27758918326230875
EPICATEGC,never_smoked,0.2775927145002526
EPICATEGC,ever_smoked,0.277592714500253
PEACHESQUAN,heart_disease,0.27763742484168524
PUMPKINPIEQUAN,heart_disease,0.2776374248416869
BREAKFASTSANDWICHQUAN,cat,0.2776374248416869
GRAPENUTSTYPE,heart_disease,0.2776374248416873
OTHERSOUPQUAN,Jewish,0.2776374248416873
ASIAN,cat,0.2776374248416874
EATMEAT,diabetes,0.2776374248416875
EATFISH,diabetes,0.2776374248416875
COOKINGFATHALF,cat,0.2776374248416877
CORNFLAKESTYPE,cat,0.27763742484168813
SHREDDEDWHEATTYPE,diabetes,0.2776374248416884
GROUP_COOK_FAT_BUTTER_MARGARINE_BLEND_TOTAL_GRAMS,cat,0.2776374248416884
DECAFHOTTEATYPE,diabetes,0.2776374248416886
GRAPENUTSTYPE,cat,0.2776374248416886
GROUP_WINE_WHITE_TOTAL_GRAMS,cat,0.2776374248416886
WHITE,cat,0.27763742484169
VARIETYMEATQUAN,cat,0.2776374248416919
OTHERSOUPQUAN,smoke_often,0.27763742484169285
F20D3,ever_smoked,0.27763893822590263
F20D3,never_smoked,0.27763893822590263
CHOCOLATECANDYQUAN,favCable,0.27769801125546933
DT_S120,uhCrash,0.27772066718722427
GROUP_COTTAGE_CHEESE_RICOTTA_TOTAL_GRAMS,left_hand,0.2778350349698856
CHOLNPC,cancer,0.27785499680756087
DT_ZINC,dog,0.27785725586123994
PF_TOTAL,smoke_rarely,0.27786165831939447
BROCCOLIFREQ,quit_smoking,0.2779360263773535
GROUP_SOY_MILK_TOTAL_GRAMS,cat,0.27795287068328045
